Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category	CMB	Device	Supported Platforms	Proceeds Reason	Preserved Pricing	Client	Order Type
APPLE	US	com.storied	Storied.com	Storied: Family History	1.9.1	7	1	0.00	12/01/2024	12/01/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.9.1	1	5	0.00	12/01/2024	12/01/2024	USD	US	 	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	140	0.00	12/01/2024	12/01/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/01/2024	12/01/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	19	0.00	12/01/2024	12/01/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/01/2024	12/01/2024	EUR	IE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	765	0.00	12/01/2024	12/01/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	14	0.00	12/02/2024	12/02/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/02/2024	12/02/2024	NOK	NO	NOK	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/02/2024	12/02/2024	INR	IN	INR	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/02/2024	12/02/2024	EUR	FI	EUR	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	183	0.00	12/02/2024	12/02/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	7	0.00	12/02/2024	12/02/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/02/2024	12/02/2024	EUR	DE	EUR	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	1	0.00	12/02/2024	12/02/2024	USD	US	 	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/02/2024	12/02/2024	NZD	NZ	NZD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/02/2024	12/02/2024	EUR	FR	EUR	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	8	0.00	12/02/2024	12/02/2024	AUD	AU	AUD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/02/2024	12/02/2024	EUR	IE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/02/2024	12/02/2024	EUR	FR	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/02/2024	12/02/2024	INR	IN	INR	1607957410	0.00	 	 	 	 	Reference		Desktop	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/02/2024	12/02/2024	ILS	IL	ILS	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/02/2024	12/02/2024	EUR	DE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	5	0.00	12/02/2024	12/02/2024	USD	US	 	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	1	0.00	12/02/2024	12/02/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	4	0.00	12/02/2024	12/02/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		Desktop	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.9.1	7	1	0.00	12/02/2024	12/02/2024	AUD	AU	AUD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/02/2024	12/02/2024	AUD	AU	AUD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/02/2024	12/02/2024	SGD	SG	SGD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/02/2024	12/02/2024	HKD	HK	HKD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	2	0.00	12/02/2024	12/02/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/02/2024	12/02/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	587	0.00	12/02/2024	12/02/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	14	0.00	12/02/2024	12/02/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	10	0.00	12/03/2024	12/03/2024	USD	US	 	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	1	0.00	12/03/2024	12/03/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/03/2024	12/03/2024	EUR	DE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/03/2024	12/03/2024	EUR	FR	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/03/2024	12/03/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/03/2024	12/03/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/03/2024	12/03/2024	AUD	AU	AUD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/03/2024	12/03/2024	EUR	DE	EUR	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	3	0.00	12/03/2024	12/03/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	1	0.00	12/03/2024	12/03/2024	EUR	IT	 	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	118	0.00	12/03/2024	12/03/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/03/2024	12/03/2024	EUR	IE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/03/2024	12/03/2024	AUD	AU	AUD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/03/2024	12/03/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	4	0.00	12/03/2024	12/03/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/03/2024	12/03/2024	INR	IN	INR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	203	0.00	12/03/2024	12/03/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/03/2024	12/03/2024	ILS	IL	ILS	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied.upgrade.ultimate.annual	 	Ultimate Annual	1.9.1	IAY	1	135.15	12/03/2024	12/03/2024	USD	US	USD	6479270084	159.00	 	com.storied	Renewal	1 Year	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	1	0.00	12/04/2024	12/04/2024	USD	US	 	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/04/2024	12/04/2024	INR	IN	INR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	98	0.00	12/04/2024	12/04/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/04/2024	12/04/2024	ILS	IL	ILS	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/04/2024	12/04/2024	EUR	DE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/04/2024	12/04/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	1	0.00	12/04/2024	12/04/2024	BRL	BR	 	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/04/2024	12/04/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	11	0.00	12/04/2024	12/04/2024	USD	US	 	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/04/2024	12/04/2024	AUD	AU	AUD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied.upgrade.ultimate.annual	 	Ultimate Annual	1.10.0	IAY	1	0.00	12/04/2024	12/04/2024	USD	US	USD	6479270084	0.00	FREE	com.storied	New	7 Days	Reference		iPhone	iOS	 	 	 	Free Trial Intro Offer
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	2	0.00	12/04/2024	12/04/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	92	0.00	12/04/2024	12/04/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/04/2024	12/04/2024	EUR	IE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/04/2024	12/04/2024	AUD	AU	AUD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/04/2024	12/04/2024	EUR	DE	EUR	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/04/2024	12/04/2024	EUR	FR	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/04/2024	12/04/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/05/2024	12/05/2024	ILS	IL	ILS	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/05/2024	12/05/2024	EUR	FR	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/05/2024	12/05/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	1	0.00	12/05/2024	12/05/2024	EUR	FR	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	81	0.00	12/05/2024	12/05/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/05/2024	12/05/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/05/2024	12/05/2024	EUR	DE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/05/2024	12/05/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	10	0.00	12/05/2024	12/05/2024	USD	US	 	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	2	0.00	12/05/2024	12/05/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	68	0.00	12/05/2024	12/05/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/05/2024	12/05/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/05/2024	12/05/2024	AUD	AU	AUD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/05/2024	12/05/2024	EUR	IE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	3	0.00	12/05/2024	12/05/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	70	0.00	12/06/2024	12/06/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/06/2024	12/06/2024	EUR	DE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	6	0.00	12/06/2024	12/06/2024	USD	US	 	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	1	0.00	12/06/2024	12/06/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/06/2024	12/06/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	1	0.00	12/06/2024	12/06/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	1	0.00	12/06/2024	12/06/2024	USD	US	 	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	3	0.00	12/06/2024	12/06/2024	AUD	AU	AUD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/06/2024	12/06/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/06/2024	12/06/2024	EUR	IE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/06/2024	12/06/2024	EUR	FR	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	62	0.00	12/06/2024	12/06/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/06/2024	12/06/2024	EUR	DE	EUR	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/06/2024	12/06/2024	ILS	IL	ILS	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/06/2024	12/06/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/07/2024	12/07/2024	CAD	CA	CAD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	66	0.00	12/07/2024	12/07/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/07/2024	12/07/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/07/2024	12/07/2024	EUR	FR	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/07/2024	12/07/2024	GBP	GB	GBP	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied.upgrade.ultimate.annual	 	Ultimate Annual	1.9.1	IAY	1	135.15	12/07/2024	12/07/2024	USD	US	USD	6479270084	159.00	 	com.storied	Renewal	1 Year	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/07/2024	12/07/2024	ILS	IL	ILS	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	2	0.00	12/07/2024	12/07/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	1	0.00	12/07/2024	12/07/2024	EUR	IE	EUR	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	1	1	0.00	12/07/2024	12/07/2024	INR	IN	 	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/07/2024	12/07/2024	EUR	DE	EUR	1607957410	0.00	 	 	 	 	Reference		iPhone	iOS	 	 	 	 
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	7	2	0.00	12/07/2024	12/07/2024	AUD	AU	AUD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
APPLE	US	com.storied.upgrade.ultimate.annual	 	Ultimate Annual	1.10.0	IAY	2	0.00	12/07/2024	12/07/2024	USD	US	USD	6479270084	0.00	FREE	com.storied	New	7 Days	Reference		iPhone	iOS	 	 	 	Free Trial Intro Offer
APPLE	US	com.storied	Storied.com	Storied: Family History	1.10.0	3	1	0.00	12/07/2024	12/07/2024	USD	US	USD	1607957410	0.00	 	 	 	 	Reference		iPad	iOS	 	 	 	 
